KPI,Description
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W6,Evaluate international direct dialing spend from week 6 to identify long-term subscriber revenue trends for finance-validated telecom marketing campaigns.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W6,This metric tracks the total finance-recognized IDD revenue specifically for week 6 to monitor historical international usage patterns in the CRM.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W6,What was the total finance-recognized revenue from international calls (IDD) during the sixth week prior in the Customer 360 subscriber profile?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W6,Show me the total IDD finance revenue for week 6 from the Customer 360 usage and billing records.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W3,Total finance-recognized IDD revenue for the third most recent week (W3) as recorded in the Customer 360 subscriber profile.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W3,Monitor international calling spend from week 3 (W3) to identify high-value IDD users for targeted telecom billing and loyalty campaigns.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W3,Analyzing the total finance-validated IDD revenue from the W3 period to segment customer usage patterns within the CRM database.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W3,What was the total finance-recognized revenue for international direct dialing during the third week ago (W3) in the Customer 360 table?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W3,Show me the total IDD finance revenue for week 3 (W3) from the subscriber's usage profile.
360YOUTUBE_USAGE_FLAG_15D,A Customer 360 binary flag representing whether a subscriber has accessed YouTube via the mobile data network in the last 15 days.
360YOUTUBE_USAGE_FLAG_15D,Identify active video streamers for targeted telecom marketing by checking the YouTube usage flag status over the past 15 days.
360YOUTUBE_USAGE_FLAG_15D,This analytical metric tracks the presence of YouTube data packets in the subscriber profile during the previous 15 days.
360YOUTUBE_USAGE_FLAG_15D,Find all users with a 'Yes' YouTube usage flag in the Customer 360 database for the last 15 days.
360YOUTUBE_USAGE_FLAG_15D,Which customers have a YouTube usage flag set to true for their mobile data activity over the last 15 days?
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W7,This Customer 360 attribute tracks the total local mobile data finance revenue recorded for a subscriber during Week 7.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W7,Analyze local data finance revenue from Week 7 (W7) to optimize telecom marketing campaigns and subscriber segmentation.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W7,A billing system metric representing the sum of local data finance revenue generated during the W7 time window.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W7,What is the total local data finance revenue for the seventh week (W7) in the Customer 360 profile?
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W7,Check the local data finance revenue for Week 7 (W7) to monitor subscriber usage in the telecom network.
ROAMING_PAYG_REV_LAST_3_DAYS,Total Pay-As-You-Go roaming revenue calculated from billing records for the subscriber profile over the last 3 days.
ROAMING_PAYG_REV_LAST_3_DAYS,Identify high-value travelers for targeted campaigns based on their PAYG roaming revenue accumulated within the last 3 days in Customer 360.
ROAMING_PAYG_REV_LAST_3_DAYS,This metric tracks the sum of roaming PAYG charges in the BSS for the past 3 days to monitor recent usage trends.
ROAMING_PAYG_REV_LAST_3_DAYS,Show me the total revenue from Pay-As-You-Go roaming usage for each subscriber during the previous 3 days in the network.
ROAMING_PAYG_REV_LAST_3_DAYS,What is the total PAYG roaming revenue for this customer over the last 3 days according to their billing profile?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_MTD,Total finance-recognized IDD revenue for the current month-to-date period extracted from the Customer 360 subscriber profile billing records.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_MTD,Monitor month-to-date finance-recognized international direct dialing spend to identify high-value users for targeted telecom revenue assurance and marketing campaigns.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_MTD,This metric calculates the total finance-validated IDD revenue generated by a subscriber during the current MTD window in the CRM system.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_MTD,Show me the total finance-recognized revenue from international calls for each customer in the billing system from the start of the month to date.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_MTD,What is the total MTD finance-recognized IDD revenue for this subscriber according to the Customer 360 billing data?
CUST_360_ACTIVATION_CSR_OUTLET_DEALER,Technical mapping of the dealer or retail outlet associated with the CSR during the customer activation event in Customer 360.
CUST_360_ACTIVATION_CSR_OUTLET_DEALER,Identify the specific sales partner or dealer location responsible for the subscriber's activation to track retail performance within the CRM.
CUST_360_ACTIVATION_CSR_OUTLET_DEALER,Analyze the point of sale by identifying the dealer outlet linked to the CSR at the time of activation in the BSS.
CUST_360_ACTIVATION_CSR_OUTLET_DEALER,Search for the dealer or retail outlet name tied to the CSR who performed the activation in the subscriber profile.
CUST_360_ACTIVATION_CSR_OUTLET_DEALER,What was the dealer outlet for the CSR at the time of activation according to Customer 360?
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_M2,Total finance-recognized roaming revenue for the second most recent month (M2) extracted from the Customer 360 subscriber profile database.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_M2,Aggregated finance-recognized revenue from international roaming usage during Month 2 (M2) to evaluate high-value traveler segments within the telecom CRM.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_M2,Analytical metric calculating the total finance-validated revenue from roaming services in Month 2 (M2) for revenue assurance and trend monitoring.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_M2,What was the total finance-recognized roaming revenue recorded in the Customer 360 table for the M2 period?
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_M2,Show total finance-recognized roaming revenue from the second most recent month (M2) for our subscriber base in the billing system.
CUST_360_TOP_1ST_FAVORITE_ROAMING_COUNTRIES_IN_MTD,This Customer 360 attribute stores the top 1st favorite roaming country based on visit frequency during the current MTD billing cycle.
CUST_360_TOP_1ST_FAVORITE_ROAMING_COUNTRIES_IN_MTD,Identify a subscriber's most visited roaming country for the current month-to-date to personalize travel offers within the CRM system.
CUST_360_TOP_1ST_FAVORITE_ROAMING_COUNTRIES_IN_MTD,An analytical metric tracking the primary roaming destination for a user during the MTD window for network usage segmentation.
CUST_360_TOP_1ST_FAVORITE_ROAMING_COUNTRIES_IN_MTD,Which roaming country has the subscriber visited most frequently during the current month-to-date according to the Customer 360 data?
CUST_360_TOP_1ST_FAVORITE_ROAMING_COUNTRIES_IN_MTD,What is the top 1st favorite roaming country for this subscriber in the current MTD period in the subscriber profile?
CUST_360_VOICE_REVENUE_ROAMING_FINANCE_REV_7D,Aggregated finance-recognized revenue from voice roaming calls over the last 7 days stored in the Customer 360 data warehouse.
CUST_360_VOICE_REVENUE_ROAMING_FINANCE_REV_7D,Monitor weekly finance-validated roaming voice revenue to evaluate high-spend international travelers within the subscriber profile for targeted roaming offers.
CUST_360_VOICE_REVENUE_ROAMING_FINANCE_REV_7D,Analytical measure of total finance-approved revenue from voice usage on roaming partner networks during the past 7 days for revenue assurance.
CUST_360_VOICE_REVENUE_ROAMING_FINANCE_REV_7D,What was the total finance-recognized revenue generated from roaming voice calls for this Customer 360 profile over the previous 7 days?
CUST_360_VOICE_REVENUE_ROAMING_FINANCE_REV_7D,Total finance-recognized voice roaming revenue for the last 7 days found in the customer billing and CRM system.
CUST_360_DISCOUNT_M1,This Customer 360 data point captures the total discount amount applied to the subscriber's billing account during the M1 period.
CUST_360_DISCOUNT_M1,Analyze promotional discount benefits received by the customer in the latest M1 to optimize CRM campaign targeting strategies.
CUST_360_DISCOUNT_M1,Measure the total value of offer-based reductions in the subscriber profile for the M1 window to evaluate revenue impact.
CUST_360_DISCOUNT_M1,Show the total value of promotional discounts and offer reductions applied to the billing system in Month 1 (M1).
CUST_360_DISCOUNT_M1,What was the total discount amount credited to the customer's telecom account during the most recent M1?
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_M1,Total finance-recognized national SMS revenue for the subscriber during the M1 period within the Customer 360 billing profile.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_M1,Identify high-value domestic messaging users by tracking finance-validated national SMS revenue from the most recent month (Month 1) in CRM.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_M1,This metric calculates the finance-recognized revenue from national SMS usage for Month 1 to analyze subscriber profitability in the BSS.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_M1,Show me the total finance-approved revenue from national SMS for each customer during the M1 billing cycle in the 360 profile.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_M1,How much finance-recognized national SMS revenue did the subscriber generate during Month 1 according to the Customer 360 usage records?
CUST_360_SALES_CODE,The current sales code attribute within the Customer 360 profile identifying the specific transaction or agent for the subscriber.
CUST_360_SALES_CODE,Identify the latest sales code in the CRM to attribute telecom plan activations to specific retail channels or representatives.
CUST_360_SALES_CODE,Analyze the current sales code metric in the subscriber profile to evaluate the effectiveness of different telecom sales channels.
CUST_360_SALES_CODE,What is the latest sales code assigned to this customer in the Customer 360 billing and account management system?
CUST_360_SALES_CODE,What is the current sales code for this subscriber in the Customer 360 profile for sales channel verification?
360GCC_ROAMING_FLAG_180D,This Customer 360 flag indicates if a subscriber has recorded any roaming usage in GCC countries within the last 180 days.
360GCC_ROAMING_FLAG_180D,Target customers for travel offers if they have a positive GCC roaming indicator in their profile from the last 180 days.
360GCC_ROAMING_FLAG_180D,An analytical status derived from network usage data showing GCC roaming activity for a subscriber over the previous 180 days.
360GCC_ROAMING_FLAG_180D,Identify subscribers in the CRM who have a positive GCC roaming flag for usage during the past 180 days.
360GCC_ROAMING_FLAG_180D,Did the customer use GCC roaming in the last 180 days based on their Customer 360 usage profile?
CUST_360_MNP_DONOR,Technical Customer 360 attribute identifying the original donor operator from which the subscriber ported their number via MNP.
CUST_360_MNP_DONOR,Identify the historical donor service provider in the subscriber profile to analyze competitor win-back trends and MNP port-in sources.
CUST_360_MNP_DONOR,Metric showing the historical MNP donor network for each customer in the CRM to evaluate market share gain from specific operators.
CUST_360_MNP_DONOR,What was the original donor network for this mobile number before the customer completed their MNP transfer to us?
CUST_360_MNP_DONOR,Which original MNP donor operator is recorded in the Customer 360 profile for this subscriber?
CUST_360_MOST_IDD_CNTRY_90D,This Customer 360 attribute identifies the specific country code with the highest IDD call frequency recorded over the last 90 days.
CUST_360_MOST_IDD_CNTRY_90D,Identify the primary international calling destination for targeted CRM campaigns by analyzing the most dialed IDD country during the past 90 days.
CUST_360_MOST_IDD_CNTRY_90D,A billing-derived metric showing the top international destination by call volume for a subscriber within the previous 90-day period.
CUST_360_MOST_IDD_CNTRY_90D,Which country does the customer call most frequently using IDD services based on their network usage over the last 90 days?
CUST_360_MOST_IDD_CNTRY_90D,What is the most frequently dialed IDD country for this subscriber in the Customer 360 profile during the last 90 days?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W4,Total finance-recognized IDD revenue for the W4 period as recorded in the Customer 360 subscriber profile billing data.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W4,Monitor total international direct dialing spend from the W4 week to segment high-value IDD users for telecom marketing campaigns.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W4,Aggregated total finance-validated IDD revenue during the Week 4 (W4) window used for analyzing historical subscriber usage trends in the CRM.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W4,Show the total international calling revenue recognized by finance for this customer during the specific W4 weekly bucket.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_W4,What was the total IDD revenue for this subscriber in Week 4 (W4) according to Customer 360 finance records?
TOTAL_VOICE_REVENUE_FINANCE_REV_M1,This Customer 360 field calculates the total finance-validated voice revenue for a subscriber during the previous month M1.
TOTAL_VOICE_REVENUE_FINANCE_REV_M1,Target high-value users for loyalty campaigns based on their total voice revenue recorded in the billing system for M1.
TOTAL_VOICE_REVENUE_FINANCE_REV_M1,Evaluate subscriber spending trends by analyzing the total finance-reported voice revenue from the previous month M1 in the profile.
TOTAL_VOICE_REVENUE_FINANCE_REV_M1,Search for the total amount of revenue generated from voice calls during month M1 within the subscriber profile data.
TOTAL_VOICE_REVENUE_FINANCE_REV_M1,What was the total voice revenue for this customer in the previous month M1 according to the finance system?
CUST_360_ACTIVATION_CSR_ID,"The unique identifier of the CSR who performed the initial activation, mapped in the Customer 360 table from BSS logs."
CUST_360_ACTIVATION_CSR_ID,Enables sales attribution by linking the initial activation of a telecom plan to the specific CSR ID in the CRM.
CUST_360_ACTIVATION_CSR_ID,A metric used to audit employee performance by tracking the CSR ID responsible for the initial activation in the billing system.
CUST_360_ACTIVATION_CSR_ID,Which CSR ID is credited with the initial activation of this subscriber profile in the Customer 360 system?
CUST_360_ACTIVATION_CSR_ID,Find the CSR ID who handled the initial activation for this customer in the telecom network database.
CUST_360_TOTAL_RECHARGE_WK4,This Customer 360 field calculates the sum of all top-up transactions for a subscriber specifically during the WK4 period.
CUST_360_TOTAL_RECHARGE_WK4,Identify high-value customers for targeted campaigns by evaluating their total recharge amount recorded in the billing system during week 4.
CUST_360_TOTAL_RECHARGE_WK4,Measure the subscriber's spending behavior by analyzing the total recharge volume within the WK4 bucket of the customer profile.
CUST_360_TOTAL_RECHARGE_WK4,What is the aggregate value of all recharges processed in the BSS for this user during the week 4 window?
CUST_360_TOTAL_RECHARGE_WK4,Show me the total recharge amount for this subscriber from the Customer 360 table for the WK4 time period.
CUST_360_FAV_RECHARGE_CHANNEL_M1,This Customer 360 attribute captures the most frequently used recharge channel for a subscriber during the M1 period.
CUST_360_FAV_RECHARGE_CHANNEL_M1,Identify the preferred recharge channel in Month 1 to optimize marketing campaigns and digital channel migration for subscribers.
CUST_360_FAV_RECHARGE_CHANNEL_M1,A metric from the billing system indicating the top-ranked recharge channel by transaction count in the M1 timeframe.
CUST_360_FAV_RECHARGE_CHANNEL_M1,Show the most common recharge platform used by the customer in the latest Month 1 within the subscriber profile.
CUST_360_FAV_RECHARGE_CHANNEL_M1,What is the favorite recharge channel for this subscriber according to the Customer 360 data for M1?
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_15D,Total finance-recognized IDD SMS revenue for the subscriber over the last 15 days as recorded in the Customer 360 profile.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_15D,Identify high-value international messaging users by tracking finance-validated IDD SMS revenue generated during the previous 15 days for campaign targeting.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_15D,This metric calculates the total finance-recognized revenue from international SMS usage over a 15-day window to analyze subscriber spending patterns.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_15D,Show me the total finance-recognized revenue from international text messages sent by this customer in the last 15 days.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_15D,What is the finance-recognized IDD SMS revenue for this subscriber over the past 15 days in the billing system?
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D_MAX,This Customer 360 field captures the maximum finance-recognized revenue from combined on-net and off-net usage over the last 30 days.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D_MAX,Identify high-value subscribers by tracking the highest finance revenue from on-net and off-net activities within the past 30 days.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D_MAX,Use this metric to evaluate the peak finance-recognized revenue from on-net and off-net usage during the previous 30-day billing cycle.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D_MAX,What is the maximum total revenue from on-net and off-net services recorded in the Customer 360 profile for the last 30 days?
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D_MAX,Find the highest finance-recognized revenue from on-net and off-net usage for a subscriber during the last 30 days.
CUST_360_RECHARGE_DORMANCY_7D,This Customer 360 field tracks the number of days since a subscriber's last recharge transaction within the most recent 7 days.
CUST_360_RECHARGE_DORMANCY_7D,Identify subscribers needing top-up reminders by checking their recharge dormancy and days since last payment within the last 7 days window.
CUST_360_RECHARGE_DORMANCY_7D,Analyze the recency of recharge activity over a 7-day period to segment users based on their billing and payment frequency in CRM.
CUST_360_RECHARGE_DORMANCY_7D,Show me the number of days since the last recharge for customers in the Customer 360 profile during the past 7 days.
CUST_360_RECHARGE_DORMANCY_7D,How many days has it been since the subscriber's last recharge in the last 7 days according to the billing system?
CUST_360_VOICE_REV_WK1,This Customer 360 field calculates the total voice service revenue aggregated from billing records for the WK1 period.
CUST_360_VOICE_REV_WK1,Identify high-value callers for retention campaigns by analyzing their voice service revenue spend during the most recent WK1 interval.
CUST_360_VOICE_REV_WK1,Monitor weekly fluctuations in subscriber profile spending by tracking the total voice revenue generated over the last 1 week.
CUST_360_VOICE_REV_WK1,Show me the total revenue from voice calls for each subscriber in the CUST_360 database for the WK1 timeframe.
CUST_360_VOICE_REV_WK1,What was the total voice revenue for this customer in the last 1 week according to the BSS records?
CUST_360_VAS_REVENUE_FINANCE_REV_8W_MAX,This Customer 360 metric calculates the maximum finance-recognized VAS revenue recorded for a subscriber over the past 8 weeks.
CUST_360_VAS_REVENUE_FINANCE_REV_8W_MAX,Identify high-value subscribers by tracking their highest weekly VAS spend in the billing system over a rolling 8-week period.
CUST_360_VAS_REVENUE_FINANCE_REV_8W_MAX,Use this revenue assurance indicator to analyze the peak finance-recognized VAS revenue generated by a customer during the last 8 weeks.
CUST_360_VAS_REVENUE_FINANCE_REV_8W_MAX,What was the maximum finance-recognized revenue from value-added services for this subscriber profile within the previous 8 weeks?
CUST_360_VAS_REVENUE_FINANCE_REV_8W_MAX,Show the highest 8-week rolling VAS finance revenue for this customer in the CRM.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_90D,Total finance-recognized IDD SMS revenue recorded in the Customer 360 profile for the previous 90 days period.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_90D,Identify high-value international messaging users by tracking finance-validated IDD SMS revenue over the last 90 days for campaign targeting.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_90D,Analyze the quarterly trend of finance-recognized revenue from international SMS usage per subscriber within the Customer 360 billing dataset.
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_90D,What is the total finance-approved revenue from international text messages for this subscriber over the past 3 months?
CUST_360_SMS_REVENUE_IDD_FINANCE_REV_90D,Show me the finance-recognized IDD SMS revenue from the Customer 360 table for the last 90 days.
CUST_360_IDD_VOICE_MOU_90D,This Customer 360 metric tracks the total IDD voice MOU accumulated by a subscriber during the last 90 days of activity.
CUST_360_IDD_VOICE_MOU_90D,Use this KPI to segment customers for international calling plans based on their total IDD voice usage over the past 3 months.
CUST_360_IDD_VOICE_MOU_90D,"An analytical measure of cumulative international direct dialing minutes within the subscriber profile, covering the most recent 90 days period."
CUST_360_IDD_VOICE_MOU_90D,Search for the total volume of outgoing IDD voice minutes recorded in the billing system for the previous quarter.
CUST_360_IDD_VOICE_MOU_90D,How many total IDD voice minutes did this customer use in the last 90 days for their network usage profile?
CUST_360_VAS_REV_30D,This Customer 360 field calculates the total revenue from value-added services (VAS) recorded in the billing system over the last 30 days.
CUST_360_VAS_REV_30D,Identify high-value subscribers by tracking their total spend on digital subscriptions and VAS within the subscriber profile during the last 30 days.
CUST_360_VAS_REV_30D,Analyze the 30-day revenue contribution from value-added services to segment customers based on their recent digital service usage in the CRM.
CUST_360_VAS_REV_30D,Show me the total amount spent on VAS and premium content by each customer in the last 30 days from the Customer 360.
CUST_360_VAS_REV_30D,What is the total VAS revenue for this subscriber over the past 30 days according to the billing records?
CUST_360_EMAIL,The current email address field within the Customer 360 system representing the primary digital contact point for the subscriber profile.
CUST_360_EMAIL,"The latest email contact information stored in the CRM for sending telecom service notifications, billing alerts, and marketing communications."
CUST_360_EMAIL,A profile attribute capturing the current email address in the Customer 360 record for analyzing digital reachability across the network.
CUST_360_EMAIL,Retrieve the current email address associated with the subscriber account in the Customer 360 database for support purposes.
CUST_360_EMAIL,What is the latest email address for this customer in their 360 profile within the BSS?
CUST_360_IDD_VOICE_REV_WK7,Total revenue from IDD voice calls recorded in the Customer 360 profile for the specific WK7 time period.
CUST_360_IDD_VOICE_REV_WK7,Identify high-value international callers by analyzing IDD voice revenue generated during the seventh week for targeted telecom marketing campaigns.
CUST_360_IDD_VOICE_REV_WK7,This metric calculates the total international direct dialing voice revenue from the subscriber profile during the WK7 weekly window.
CUST_360_IDD_VOICE_REV_WK7,How much international voice revenue was collected from subscribers during the seventh week of the month for billing analysis?
CUST_360_IDD_VOICE_REV_WK7,Show the WK7 IDD voice revenue for each user within the Customer 360 usage analytics table.
CUST_360_ONNET_SMS_60D,This Customer 360 metric calculates the total count of on-net SMS messages sent by a subscriber over the last 60 days.
CUST_360_ONNET_SMS_60D,Identify high-volume on-network messaging users within the subscriber profile for targeted loyalty campaigns based on their activity over a 60-day period.
CUST_360_ONNET_SMS_60D,Analyzes the volume of internal network text traffic per customer during the past 60 days to support network usage segmentation and analytics.
CUST_360_ONNET_SMS_60D,Show me the total number of SMS sent to other numbers on the same network during the previous 60 days from the billing system.
CUST_360_ONNET_SMS_60D,How many on-net SMS did this customer send in the last 60 days according to their Customer 360 profile?
CUST_360_VAS_REVENUE_FINANCE_REV_W3,Total finance-recognized VAS revenue for the third most recent week (W3) as recorded in the Customer 360 billing system.
CUST_360_VAS_REVENUE_FINANCE_REV_W3,Monitor subscriber expenditure on value-added services during week 3 for revenue assurance and financial reporting within the CRM.
CUST_360_VAS_REVENUE_FINANCE_REV_W3,A metric used to analyze finance-validated income from VAS during the W3 period to identify trends in subscriber profiles.
CUST_360_VAS_REVENUE_FINANCE_REV_W3,What was the total finance-approved revenue generated from value-added services three weeks ago in the Customer 360 table?
CUST_360_VAS_REVENUE_FINANCE_REV_W3,Show the finance-recognized VAS revenue for week 3 for all subscribers in the telecom billing database.
CUST_360_ALLOCATED_RENTAL_REVENUE_M1,This Customer 360 metric calculates the allocated rental revenue from the billing system for the previous month M1 for each subscriber.
CUST_360_ALLOCATED_RENTAL_REVENUE_M1,Track recurring subscription fee revenue attributed to each account during the last month M1 using this Customer 360 subscriber profile attribute.
CUST_360_ALLOCATED_RENTAL_REVENUE_M1,Analyze the distribution of allocated rental revenue for month M1 to identify high-value subscribers within the Customer 360 analytics database.
CUST_360_ALLOCATED_RENTAL_REVENUE_M1,Show me the total allocated rental revenue for each customer account from the previous month M1 found in the billing records.
CUST_360_ALLOCATED_RENTAL_REVENUE_M1,What was the allocated rental revenue for the subscriber during the last month M1 according to the Customer 360 profile?
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_90D,Total finance-recognized revenue from off-net voice calls stored in the Customer 360 profile for the last 90 days.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_90D,Analyze finance-validated off-net voice revenue over the past 3 months for revenue assurance and targeted marketing campaigns within the BSS.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_90D,This metric calculates the total billing revenue from outgoing calls to other networks during a rolling 90-day window for subscriber segmentation.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_90D,Show me the total finance revenue generated from off-net voice usage in the subscriber profile over the last 90 days.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_90D,What is the total finance-recognized off-net voice revenue for this customer over the past 90 days in the CRM?
CUST_360_NAME,The current registered name of the subscriber as stored in the Customer 360 database from the initial BSS registration.
CUST_360_NAME,Identify the subscriber's current legal name for personalized marketing campaigns and billing accuracy within the Customer 360 profile system.
CUST_360_NAME,Use the latest customer name field from the Customer 360 record to segment subscriber profiles for identity verification and CRM analytics.
CUST_360_NAME,What is the current name associated with this mobile subscription in the Customer 360 subscriber profile?
CUST_360_NAME,Show me the latest registered name for this customer in the Customer 360 CRM record.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_M2,This Customer 360 field calculates the total finance-recognized revenue from on-net and off-net usage specifically for the M2 (Month 2) period.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_M2,Evaluate subscriber profitability by reviewing total on-net and off-net finance revenue from the second most recent month (M2) for campaign targeting.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_M2,Use the M2 total on-net and off-net finance revenue metric from the subscriber profile to perform month-over-month revenue assurance analysis.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_M2,What is the sum of finance-recognized revenue for on-net and off-net activities during Month 2 (M2) in the Customer 360 database?
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_M2,How much total on-net and off-net finance revenue did the customer generate in Month 2 (M2) according to billing records?
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_30D_MAX,This Customer 360 field captures the maximum finance-recognized revenue from off-net voice calls recorded in the billing system over the last 30 days.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_30D_MAX,Identify high-value subscribers by tracking their highest single-day off-net voice revenue within the subscriber profile during the past 30 days for finance auditing.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_30D_MAX,Use this metric to analyze the peak finance-validated revenue generated from outgoing off-net voice usage per customer within a 30-day window for campaign targeting.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_30D_MAX,Show me the maximum finance revenue from off-net voice calls for each subscriber in the Customer 360 database over the last 30 days.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_30D_MAX,What is the highest finance-recognized off-net voice revenue for this customer in the billing records over the past 30 days?
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_AVG_3_MONTH,Technical: Average finance-recognized roaming SMS revenue calculated over a 3-month window from the Customer 360 subscriber profile data tables.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_AVG_3_MONTH,Business: Identify high-value international travelers by tracking their average monthly finance-recognized roaming SMS revenue over the last 3 months for billing.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_AVG_3_MONTH,Analytical: This metric evaluates the 3-month average of finance-recognized roaming SMS revenue to segment subscribers within the revenue assurance system.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_AVG_3_MONTH,Query: What is the average finance-recognized revenue for roaming SMS usage per customer during the previous 3-month period in the CRM?
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_AVG_3_MONTH,Short: Show the average finance-recognized roaming SMS revenue for each subscriber profile over the past 3 months.
CUST_360_HBB_WFBB_TRAFFIC_GBS_LMTD,Total gigabytes of HBB and WFBB traffic recorded in the Customer 360 profile for the last month-to-date (LMTD) period.
CUST_360_HBB_WFBB_TRAFFIC_GBS_LMTD,Identify high-usage subscribers by analyzing total HBB and WFBB data consumption in GB for the last month-to-date (LMTD) billing cycle.
CUST_360_HBB_WFBB_TRAFFIC_GBS_LMTD,Analytical measure of total wireless fixed broadband traffic in gigabytes for the last month-to-date period to evaluate recent network usage patterns.
CUST_360_HBB_WFBB_TRAFFIC_GBS_LMTD,How much data volume in GB did the customer consume on HBB or WFBB plans during the last month-to-date window?
CUST_360_HBB_WFBB_TRAFFIC_GBS_LMTD,What is the customer's total HBB and WFBB traffic in gigabytes for the last month-to-date (LMTD) interval?
CUST_360_PAYG_REV_VOICE_LST_30D,This Customer 360 field calculates the total PAYG voice revenue from the billing system over the last 30 days.
CUST_360_PAYG_REV_VOICE_LST_30D,Identify high-value prepaid users for targeted campaigns by analyzing their pay-as-you-go voice revenue during the past 30 days.
CUST_360_PAYG_REV_VOICE_LST_30D,Monitor subscriber usage patterns by tracking the voice revenue generated on a PAYG basis within the recent 30-day window.
CUST_360_PAYG_REV_VOICE_LST_30D,What is the total amount earned from pay-as-you-go voice calls for this subscriber profile in the last 30 days?
CUST_360_PAYG_REV_VOICE_LST_30D,Show me the PAYG voice revenue for this customer from the last 30 days in the CRM.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_W1,Total finance-recognized SMS roaming revenue for the Week 1 period as recorded in the Customer 360 billing and finance tables.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_W1,Track the financial performance of roaming SMS usage for revenue assurance purposes during the most recent Week 1 subscriber activity window.
